id,name,collectionType,completionProgress,activityList
mwfc1,mwf-collection-week-1,mwf-collection,0,mwf1
mwfc2,mwf-collection-week-2,mwf-collection,0,mwf2
mwfc3,mwf-collection-week-3,mwf-collection,0,mwf3
mwfc4,mwf-collection-week-4,mwf-collection,0,mwf4
mwfc5,mwf-collection-week-5,mwf-collection,0,mwf5
mwfc6,mwf-collection-week-6,mwf-collection,0,mwf6
mwfc7,mwf-collection-week-7,mwf-collection,0,mwf7
mwfc8,mwf-collection-week-8,mwf-collection,0,mwf8
mwfc9,mwf-collection-week-9,mwf-collection,0,mwf9
mwfc10,mwf-collection-week-10,mwf-collection,0,mwf10
mwfc11,mwf-collection-week-11,mwf-collection,0,mwf11
mwfc12,mwf-collection-week-12,mwf-collection,0,mwf12
