id,name,collectionType,completionProgress,activityList
ttc1,tt-collection-week-1,tt-collection,0,tt1
ttc2,tt-collection-week-2,tt-collection,0,tt2
ttc3,tt-collection-week-3,tt-collection,0,tt3
ttc4,tt-collection-week-4,tt-collection,0,tt4
ttc5,tt-collection-week-5,tt-collection,0,tt5
ttc6,tt-collection-week-6,tt-collection,0,tt6
ttc7,tt-collection-week-7,tt-collection,0,tt7
ttc8,tt-collection-week-8,tt-collection,0,tt8
ttc9,tt-collection-week-9,tt-collection,0,tt9
ttc10,tt-collection-week-10,tt-collection,0,tt10
ttc11,tt-collection-week-11,tt-collection,0,tt11
ttc12,tt-collection-week-12,tt-collection,0,tt12
