id,name,videoSrc,completeStatus,description,instruction,duration
e1,Side Kick,-sH1jMhc6UY,0,Side Kick,,45
e2,Lift Waist to Overhead,2A29YFMPPAE,0,Lift Waist to Overhead,,45
e3,Upper Cut,5mUp5NIRaxs,0,Upper Cut,,45
e4,Squat Pulse,Jl0_m5JB_eo,0,Squat Pulse,,60
e5,Skating,RVUn7o-1W18,0,Skating,,45
e6,Squat and Squat Jump,WP7JWAwRZ-g,0,Squat and Squat Jump,,45
e7,Reverse Lunge,c__GtBrndEA,0,Reverse Lunge,,60
e8,Squat Hold,hP9vIjI3ezQ,0,Squat Hold,,60
e9,Lunges,lB0i9bVJ6-E,0,Lunges,,60
e10,Step Ups,xH1TV54GxdY,0,Step Ups,,45
e11,Cross Back Lunges,5tmHxuh-uOs,0,Cross Back Lunges,,60
e12,Calf Raise,F2HlGgMDGtY,0,Calf Raise,,60
e13,High Knee and High Knee Jog,LepdzGopDNU,0,High Knee and High Knee Jog,,45
e14,Bum Kicks,NL3q9utyy60,0,Bum Kicks,,45
e15,Front Punch,UKWm4X9Y-TE,0,Front Punch,,45
e16,Football Run,Z5R770cznVo,0,Football Run,,45
e17,Isometric Squat Hold,etPsYubwiUo,0,Isometric Squat Hold,,60
e18,Bridge,ibRlxaHYtH0,0,Bridge,,60
e19,Deadlift,xG7Y3CLapt4,0,Deadlift,,60
e20,Jumping Jacks Low and High,h0tHlFuXzX0,0,Jumping Jacks Low and High,,45
e21,Side Kick,-sH1jMhc6UY,0,Side Kick,,45
e22,Squat Press,8OWlPTZH5SU,0,Squat Press,,60
e23,Kareoke,8Qant08Z5hg,0,Kareoke,,45
e24,Later Shuffle,BYkUED-dpfE,0,Later Shuffle,,45
e25,Side Step Squats with Bent Arms,Xf_ra1J-IpI,0,Side Step Squats with Bent Arms,,45
e26,Reverse Lunge,c__GtBrndEA,0,Reverse Lunge,,45
e27,Lateral Raise,d8tbRzk6gbw,0,Lateral Raise,,60
e28,Tricep Extension,hlAP0kOA3ZM,0,Tricep Extension,,60
e29,Step Ups,xH1TV54GxdY,0,Step Ups,,90
e30,Hammer Curl,I3Ha8Bwzi1o,0,Hammer Curl,,60
e31,Bum Kicks,NL3q9utyy60,0,Bum Kicks,,45
e32,Bicep Curls,QjgQOyLFOmg,0,Bicep Curls,,60
e33,Bent Over Fly,v2FXSZUomz0,0,Bent Over Fly,,60
e34,Front Kick,yZdG2Supzr8,0,Front Kick,,45
e35,Step Ups,xH1TV54GxdY,0,Step Ups,,45
